City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Dikson,RU,11.04,73.51,80.55,93,100,31.83
Kaitangata,NZ,63,-46.28,169.85,66,35,3
Sao Luiz Gonzaga,BR,62.7,-28.41,-54.96,83,0,10.31
La Ronge,CA,55.4,55.1,-105.3,32,75,12.75
Kapaa,US,78.22,22.08,-159.32,65,40,11.41
Lebu,ET,57.2,8.96,38.73,93,75,3.36
Kruisfontein,ZA,59.58,-34,24.73,92,100,9.75
Hobart,AU,61.61,-42.88,147.33,54,20,11.41
Malaya Purga,RU,39,56.55,53.01,67,70,1.01
Camargo,MX,73.25,27.69,-105.17,18,73,17.36
Port Elizabeth,US,60.75,39.31,-74.98,72,90,5.82
Codrington,AU,77.25,-28.95,153.24,69,40,2.24
Tuktoyaktuk,CA,21.2,69.44,-133.03,85,40,31.09
Puerto Ayora,EC,75.99,-0.74,-90.35,97,16,3.76
Ushuaia,AR,42.8,-54.81,-68.31,75,40,27.51
Hermanus,ZA,64.11,-34.42,19.24,86,39,5.99
Camapua,BR,69.48,-19.53,-54.04,91,48,1.36
Namatanai,PG,83.92,-3.66,152.44,73,100,4.25
Rikitea,PF,79.17,-23.12,-134.97,87,35,10.47
Archidona,EC,65.33,-0.91,-77.81,77,100,2.06
Gander,CA,41.92,48.95,-54.61,81,40,4.7
Albany,US,57.34,42.65,-73.75,45,75,6.93
Sioux Lookout,CA,50,50.1,-91.92,82,90,2.24
Oranjemund,ZA,61.87,-28.55,16.43,82,0,3.85
Atuona,PF,84.19,-9.8,-139.03,75,6,17.87
Vaini,IN,73.4,15.34,74.49,56,40,3.36
Saint-Philippe,CA,54.61,45.36,-73.48,53,1,9.17
Victoria,BN,87.42,5.28,115.24,62,75,4.7
Clyde River,CA,-11.21,70.47,-68.59,76,20,11.41
Punta Arenas,CL,42.37,-53.16,-70.91,70,40,9.17
Coquimbo,CL,55.4,-29.95,-71.34,82,0,2.24
Bluff,AU,80.5,-23.58,149.07,55,95,14.85
Tutoia,BR,75.86,-2.76,-42.27,94,100,2.01
Cape Town,ZA,64.04,-33.93,18.42,68,20,19.46
Vostok,RU,42.52,46.45,135.83,71,100,8.57
Ponta do Sol,BR,64.39,-20.63,-46,91,6,2.44
Souillac,FR,59.74,45.6,-0.6,55,0,14.99
Kodiak,US,58.28,39.95,-94.76,43,90,10.29
Barrow,AR,54.11,-38.31,-60.23,59,0,7.81
Kamra,PK,71.08,33.86,72.39,77,36,4.7
Hithadhoo,MV,84.17,-0.6,73.08,80,33,11.95
Saint-Joseph,FR,56.89,43.56,6.97,62,90,8.05
Mataura,NZ,60.01,-46.19,168.86,83,0,4.45
Avarua,CK,78.8,-21.21,-159.78,61,94,8.05
Kamenka,RU,46,53.19,44.05,50,53,6.4
Sorong,ID,86.1,-0.86,131.25,76,99,4.23
Mecca,SA,70.51,21.43,39.83,56,0,7.78
Bonthe,SL,82,7.53,-12.5,80,68,7.87
Fortuna,ES,54.7,38.18,-1.13,93,0,2.24
Port Moresby,PG,86,-9.47,147.16,74,75,9.17
Hilo,US,72.86,19.71,-155.08,57,75,12.75
Bundaberg,AU,81.32,-24.87,152.35,65,75,17.22
Vysha,RU,46.82,53.85,42.38,66,18,4.97
Ca Mau,VN,91.07,9.18,105.15,55,88,7.49
Thompson,CA,48.2,55.74,-97.86,36,40,4.7
Byron Bay,AU,77.16,-28.65,153.62,65,40,13.87
Atasu,KZ,43.65,48.68,71.64,50,0,6.38
Morondava,MG,80.25,-20.3,44.28,58,55,7.27
Pemba,MZ,75.2,-12.97,40.52,88,20,10.29
Valdivia,CL,50,-39.81,-73.25,87,90,8.05
Inirida,CO,75.19,3.87,-67.92,99,100,2.55
Port Lincoln,AU,62.81,-34.72,135.86,69,87,11.05
Loukhi,RU,39.06,66.08,33.04,88,92,12.91
Mahebourg,MU,77,-20.41,57.7,88,75,3.36
Bambanglipuro,ID,84.93,-7.95,110.28,74,71,14.47
Castro,CL,46.4,-42.48,-73.76,87,75,13.87
Hasaki,JP,68.16,35.73,140.83,55,75,6.93
Kayerkan,RU,32,69.35,87.76,91,75,24.61
Busselton,AU,66,-33.64,115.35,52,0,8.48
Talara,PE,73.3,-4.58,-81.27,85,95,13.87
Gualeguay,AR,52.67,-33.15,-59.31,74,0,7.29
Santa Rosa,AR,53.07,-36.62,-64.29,61,0,8.16
Kutum,SD,64.82,14.2,24.66,12,36,5.97
Cabedelo,BR,78.8,-6.97,-34.84,88,0,2.24
Tautira,PF,86,-17.73,-149.15,66,75,12.75
Xai-Xai,MZ,69.66,-25.04,33.64,94,2,2.21
